id            ,speaker_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,listener_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,empathy
sub_4_conv_2  ,"He's been playing football for years now, but only in his school league, I think. but he's now going to go for the first time into like the National League"                                                                                                                                                                                                                                                                                                                                                                                                                                         ,it must be a very interesting experience for him like to experience the big stage such a young age would be I think would be a lot for his development too Do you think he has big chance for this event?                                                                                                                                                                                                                                                                                                                                              ,      3
sub_4_conv_2  ,"I think he does. He's going to... He has been doing great so far, but yeah, I think this is like the big test, you know? He's going to check his performance against like other kids that are right now in some manner like professional so I think he's I'm hoping he does really well you know"                                                                                                                                                                                                                                                                                                    ,yeah I also hope all the best for him as well great for him to like challenge himself to be a very big challenge I think this is also a great time to improve his capabilities                                                                                                                                                                                                                                                                                                                                                                         ,      3
sub_4_conv_3  ,"So one of the things that frustrates me a lot, particularly about my family, is that they can never get along. They never like... even in things that are very minor, like choosing what to eat in a family gathering they can never choose a single thing they always have like very different ideas and it's really frustrating because sometimes I have to cook and I have to cook like seven different dishes so it's it's really really something that's frustrating about"                                                                                                                     ,"Wow, I can really feel you man. I usually cook by myself and I already feel that sometimes it's a bit too much especially after a long day of working, coming back, having to cook just for yourself. It's already been tiring. I cannot imagine how you have to cook like seven people and it's not just one or two dishes, seven different dishes, different ingredients, everything. well, that must be a big pain"                                                                                                                                ,      2
sub_4_conv_3  ,"yeah, and I guess I shouldn't be this angry about it but like, after working, after having to do stuff all day you get home and everyone's supposed to come over and like socialize with each other and they're like, oh no, I don't want this, no, I don't want that It's... it kind of gets frustrating, you know?"                                                                                                                                                                                                                                                                                ,"Yeah, I can see how you feel. I think that's also definitely a big problem. Living in a big family that you're having right now, seven people, all living together, everyone has different ideas. That's kind of unavoidable, I think, because everyone's different. How about you like asking everyone to agree with something beforehand like few days beforehand for example so that at least you have some preparations. I think that would help a little bit."                                                                                   ,      2
sub_4_conv_3  ,"I think so. Yeah, I think that would, that could work. I... at this point I have tried a lot of things but I guess I have to be patient with them because everyone's different but yeah that's something I will be trying I guess."                                                                                                                                                                                                                                                                                                                                                                  ,"Yeah that's true I mean it's your family members, people are closest to you so just be open I think they should be listening to you as well. If they care about you. And I believe in the end, you find the same voice in certain things. It's not like you're forcing everyone to eat the same thing, but maybe have at least some agreement. Like maybe eating chicken, just prepared differently. Not eating like someone eat fish, someone shrimp, someone beef, at the same time. That would be a nightmare."                                    ,      2
sub_4_conv_5  ,yeah it's really good to be able to trust your friends you know it's something really nice that you know that you have someone to fall back on and that they will always be there for you we should be really grateful that there are people like that in the world                                                                                                                                                                                                                                                                                                                                   ,I think yeah that's true yeah I feel like also connections in the modern world kind of like fading away people have less and less and less time together like with all the things around like work going on too many connections like they're too easy to meet many people right now but it's feel more difficult to build like strong deeper connections that you can trust each other so something like that that you experience really rare and really something I wish I can cherish so everyone should be able to have such friends in their life ,      3
sub_4_conv_6  ,"So I feel really happy that all the things that I ordered from a store online actually arrived early. This was a few months ago, but they arrived early and everything was in perfect condition. And they arrived like one week before they were supposed to. So that's really great."                                                                                                                                                                                                                                                                                                               ,"Wow, that's something that's something a surprise for me. Like for your order to come one week early, that's something not expected definitely. Usually we expect that they come either on time or in some case even later than they're supposed to be. And definitely that's something to be happy with. What did you buy anyway?"                                                                                                                                                                                                                   ,      3
sub_4_conv_6  ,I was buying some motorcycle parts like I don't think they make them anymore so I ordered from collectors but they actually arrived early and I didn't think that was going to happen because it's from from some place in Europe they they arrived and everything was in perfect order and everything was alright                                                                                                                                                                                                                                                                                    ,well that's even more impressive actually like sending everything across the continent in orders and in perfect conditions all that this guy really knows how to do business and well I guess they win a new customer from now on yeah I'm glad that you happy with your purchase                                                                                                                                                                                                                                                                      ,      3
sub_4_conv_7  ,"One of the experiences that I have had while working from home that actually really spooked me was when I was late at night working on something and I was already kind of sleepy and stuff but I was just minding my own business and suddenly I hear like a big crash against my window and I was really really spooked I thought someone had like thrown a stone or something or someone was trying to get in the house and I really felt scared and it turns out it was a bat, a bat flew right to the window and I mean I'm kind of scaredof bats but it was mostly the surprise and the spook" ,what an experience you have there yeah and it's like you said it's in the middle of the night right it must be everything is quiet and suddenly you hear the sound on your windows and was it in mexico                                                                                                                                                                                                                                                                                                                                                ,      2
sub_4_conv_7  ,yeah it was like when i wasn't here it was um like in the middle of nowhere basically like in in uh the countryside and everything was completely quiet like you said it was very peaceful and suddenly you hear someone trying something like it sounds like someone trying to get into the house but it was just a bat being blind i guess                                                                                                                                                                                                                                                          ,yeah what an experience So did you check out what happened after that? Like did you check out the bat or call anyone?                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      2
sub_4_conv_7  ,Yeah I did check that the bat was... I went outside because I didn't know if someone was... or something was wrong. I saw yeah I actually saw the bat like trying to still trying to get into the house by flying into the windows but yeah at that point I mean it's just an animal so I let it be but it was pretty spooky                                                                                                                                                                                                                                                                          ,"yeah I know like Spooky experience, middle of the night with the bat."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      2
sub_4_conv_8  ,"So, one of the things that has made me sad is the fact that my brother made a promise to me and he ended up just breaking it without a second thought."                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Oh, I didn't expect that to happen to you. Did he say or explain to you what happened? Or like he just completely forgot about it and just like let it slide by without saying any word?"                                                                                                                                                                                                                                                                                                                                                             ,      3
sub_5_conv_1  ,"Okay. So, one of the things that really disgusts me is when people take advantage of each other. And a really disgusting situation was when a former friend of mine told me that he steals money from his 5 year old saving jar Just to use them for like public transport and stuff. But I mean, that is like, I think that's pretty disgusting behavior."                                                                                                                                                                                                                                          ,"Yeah, that sounds pretty weird, but why do you think he does that?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      1
sub_5_conv_1  ,"He told me that he, like, when he goes outside, he usually forgets to take change for, like, the bus or whatever. And he says that since his five-year-old savings jar is there, like, he just takes it because, Like that's at the end of the day his money, not his kids."                                                                                                                                                                                                                                                                                                                         ,"Does he put back something in it or like, is it just always taking stuff from it?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      1
sub_5_conv_1  ,"Oh, he told me he only takes stuff. He never puts anything back."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"Yeah, that sounds horrible. It's pretty douchey"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      1
sub_5_conv_2  ,"One of the things that makes me angry, and it's really really simple, is my internet right now. It's been pretty choppy and I can't... It can upload large files, but when I try to watch a YouTube video it's like in the lowest resolution possible and it makes no sense and I have tried to call the company but they can't help me and it's really frustrating, you know?"                                                                                                                                                                                                                      ,Did you try clearing the cache of your browser?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      1
sub_5_conv_2  ,I haven't tried that but Maybe I should do that. I don't know if that will make a difference though                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"Sometimes that causes some issue, but like you can always try that. But yeah, like what network are you using?"                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      1
sub_5_conv_2  ,"Oh, the home network from my apartment and it's not working."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,How much are you paying for it?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      1
sub_5_conv_2  ,"I'm not sure actually, it's just..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Then I guess you have like a cheap network man, get it upgraded."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      1
sub_5_conv_3  ,So I'm pretty optimistic about my future right now. I feel that whatever's coming next I will be able to tackle it perfectly. I think having positive thoughts about the future is a really nice thing. So I'm looking forward for like the next few years.                                                                                                                                                                                                                                                                                                                                           ,"Good for you, good for you man."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      1
sub_5_conv_3  ,"Yeah, it's like pretty great honestly. I don't know if like things will go my way, but we have to put trust on that things will go well sometimes, right?"                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Yeah, that's great to hear, like you have a positive outlook on life."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      1
sub_5_conv_4  ,One of the things that surprised me today was that I was able to wake up before my alarm. usually I sleep in but today I just woke up and checked the clock and it was like five minutes before my alarm which is which was neat I think.                                                                                                                                                                                                                                                                                                                                                             ,How is that possible like you always like snooze it five to ten times before you actually like wake up? Did you sleep early tonight or yesterday or what?                                                                                                                                                                                                                                                                                                                                                                                              ,      1
sub_5_conv_4  ,No that's the funny thing like I actually only slept like six hours instead of the usual eight but I ended up waking up early and feeling refreshed and I think that's weird but I mean it's a welcome weird instead of a bad weird.                                                                                                                                                                                                                                                                                                                                                                  ,Maybe you ate something weird yesterday that's why sometimes stomach problems can cause people to have weird sleep-sick schedules or something.                                                                                                                                                                                                                                                                                                                                                                                                        ,      1
sub_5_conv_4  ,"Oh, I hadn't thought of that. I will be on the lookout if anything goes wrong, you know."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,"Okay. By the way, what did you eat yesterday? Did you drink a lot of coffee?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      1
sub_5_conv_4  ,"Um... No, well, yeah, I did. So maybe that's why."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,There you have it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      1
sub_5_conv_5  ,So yesterday I was walking at night and suddenly realized that it got cloudy really really fast and it started like lightning started to appear and thunder and everything so I was actually got really scared because I was far away from from home and if I were to be caught in the storm I would it wouldn't be the best thing so I was like fearing for my life while running to my house                                                                                                                                                                                                        ,did you get home before the storm or like did you end up actually being in the storm and lightning is pretty scary man                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      1
sub_5_conv_5  ,"yeah like I did make it and I don't think if there was a storm It was very late at night so I just went and slept. But yeah, the lightning was... I feel like it was really close. And I'm really afraid of getting struck by lightning. I know it's very rare, but it can happen, man."                                                                                                                                                                                                                                                                                                             ,Do you know of any incidents where it happened in real life?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      1
sub_5_conv_5  ,yeah I actually know someone who was struck by lightning once but I mean they were fine but they had like um burns in some parts of their legs                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,wait like so you can survive when you get stuck by lightning                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      1
sub_5_conv_5  ,yeah that's it's really rare but it does happen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,oh that's surprising                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      1
sub_5_conv_6  ,"So, one thing that made me sad, it was when I got one of the new bills and I was walking along, moving stuff from my wallet and it blew away by the wind and crossed the street and I just tried to chase after it but I couldn't make it and at the end I was really sad."                                                                                                                                                                                                                                                                                                                          ,"What? See, like what do you mean you couldn't catch it? Like how strong was the wind?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      1
sub_5_conv_6  ,"It was pretty strong. I was, well my hair was flying and going all over the place and like I was just trying to get some money to buy something and it like blew away"                                                                                                                                                                                                                                                                                                                                                                                                                               ,What bill was it like was it like small bill or a big bill?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      1
sub_5_conv_6  ,"It was a small bill so it wasn't that bad but yeah, I lost money"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"Yeah, losing money no matter how small or how little is kind of sad"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      1
sub_5_conv_7  ,"I remember one time when I was like back in college when my group of friends to went to have dinner together and we were all supposed to go and I was on my way there but I got caught in traffic and I couldn't like make it and I didn't I have my phone so I didn't know what would, or I couldn't tell them. And in the end, they actually ended up waiting for me. And I arrived like an hour later or something, and they were all there and they were all concerned. Instead of being angry, they were really understanding. So I'm glad that they acted like that that time."                ,"You have a good group of friends, man. My friends are like the opposite of that."                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      1
sub_5_conv_7  ,"Well, yeah, I actually am very glad that I have them. I don't know why your group of friends would be like that or how would they act?"                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"I don't know, man. I just somehow get attracted to people who are mean and stuff."                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      1
sub_5_conv_7  ,"Well, that is certainly something. Well, I'm sure they love you underneath the hard exterior."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,I think so too.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      1
sub_5_conv_8  ,"I think one of the happiest moments of my entire life was when I graduated college. I had a really difficult test as a final test and it wasn't even exactly from my major. So I had to study a lot of stuff I didn't study during the major. So when I got the results back and it was like, oh yeah, you passed. I was overjoyed with emotion."                                                                                                                                                                                                                                                    ,"Yeah, best moments ever when you just go through something or you spend lots of time on something and you just actually finally make it through. It's really, really nice."                                                                                                                                                                                                                                                                                                                                                                           ,      2
sub_5_conv_8  ,yeah like it's it feels really great to to like have accomplished something i don't know if you have had an experience like that                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,yeah like i i think like most of the times like like when i'm like achieving something or something like that like when i graduated like i felt like yeah like i'm supposed to graduate right so didn't feel it that way but like i felt joy in other places I really enjoy playing video games. Like when I finish a video game after spending like 20-30 hours on it I feel like you know                                                                                                                                                            ,      2
sub_5_conv_8  ,"Yeah, you feel like ah I did it yeah, let's go!"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,"Yeah, that kind of feeling"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      2
sub_7_conv_1  ,I'm here at the arcades because I finally got the highest score ever in my case. I mean the highest rank. Now I'm ranked Diamond at Street Fighter. So I feel unstoppable. so I came here to this arcade to play with as many people as possible.                                                                                                                                                                                                                                                                                                                                                     ,"That sounds interesting. I'd like to share my moment about happiness that when I gave birth to a daughter, I was very happy."                                                                                                                                                                                                                                                                                                                                                                                                                         ,      1
sub_7_conv_1  ,Thanks. for each person it's different what makes them happy. In my case it's just about this game. That's why I'm here to play and try to defeat as many players as possible.                                                                                                                                                                                                                                                                                                                                                                                                                        ,"I think this is a very interesting design that people can share their emotions and have an interaction with Haru, the smartest robot in the world."                                                                                                                                                                                                                                                                                                                                                                                                   ,      1
