text,label,revised_label,valence,arousal,sentiment,speaker_utterance,predictions_ER,predictions_IP,predictions_EX,classification_label,reason,who,emotional_reaction,interpretations,explorations
"Yeah, this kind of thing sometimes happens. Is there someone you think that has a grudge on you or something?",0,2,0.1,0.2,neutral,this is a dummy text,0,1,2,2,"The utterance shows an attempt to explore the feelings of the other person by asking a specific question about their situation, indicating a desire to understand their emotions.",1,1,1,2
it was bad dangerous an accident could happen because of that I'd be angry too,0,2,-0.5 (reflects a negative emotional context due to the mention of danger and anger),0.5 (indicates moderate emotional intensity due to the mention of danger and anger),negative (the overall sentiment is negative due to the context of danger and anger),this is a dummy text,0,2,0,2,"The utterance expresses an understanding of the negative feelings associated with a dangerous situation and acknowledges the potential for anger, indicating a response to someone else's feelings.","1 (the focus is on the feelings of another person, indicated by ""I'd be angry too"")","1 (there is a weak emotional response, acknowledging anger)",1 (there is a weak acknowledgment of understanding the other person's feelings),0 (there is no probing into the other person's emotions or situation)
I'm sorry to hear that,0,2,0,0,negative,this is a dummy text,2,0,0,2,"The utterance expresses sympathy and acknowledges the feelings of another person, indicating an understanding of their situation.",1,1,1,0
Great news? I'm happy for her. I'm sure that she was great at her previous job and I am sure she will continue to be like really good in this new avenue and she's so so brave.,2,2,1,0.5,positive,this is a dummy text,1,1,0,2,"The utterance expresses positive feelings about someone else's success and bravery, indicating a supportive and understanding stance towards that person.",1,2,1,0
So that's the reason for her changing careers she wanted to actually help people?,2,2,1,0,positive,this is a dummy text,0,0,2,0,"The speaker is reflecting on someone else's motivations for changing careers, indicating a level of understanding about the person's desire to help others.",2,0,1,0
It's an inspiring story. It's great that she could be able to just like that change career into something that she really loves. I'm inspired.,2,2,1,0.5,positive,this is a dummy text,1,1,0,0,"The utterance expresses a positive sentiment about someone else's inspiring story and reflects the speaker's own feelings of inspiration. However, it does not seek or provide empathy in a way that acknowledges or explores the emotions of another person.",0,1,0,0
"It's awesome. I'm glad that your, what do you say, your daughter finished college?",0,2,1,0.5,positive,this is a dummy text,1,0,2,2,"The utterance expresses happiness and acknowledgment of a positive event in the other person's life, indicating a supportive and empathetic response.",1,1,1,0
oh yeah your sister yes I also have a younger brother and he's in college now,0,2,0,0,neutral,this is a dummy text,0,2,0,0,"The utterance shares a personal experience related to the topic of siblings, but it does not explicitly seek or provide empathy. It is more of a statement of fact and connection without emotional depth.",0,0,0,0
"Yes, he also needs to pay the rent.",0,0,0,0,neutral,this is a dummy text,0,1,0,0,"The utterance is straightforward and fact-oriented, discussing a practical matter (paying rent) without expressing or seeking emotional engagement.",2,0,0,0
yeah it sounds very interesting you know you can leave just not after work you can leave right now maybe yeah looking forward to hearing the result and I hope your the boxer from your country will win,2,2,0.7,0.5,positive,this is a dummy text,1,0,0,0,"The utterance expresses a positive sentiment and shows interest in the other person's situation, but it does not explicitly seek or provide empathy. It is more focused on sharing thoughts and looking forward to results rather than addressing emotions.",1,0,0,0
"Yeah, it does sound exciting. Do you also play boxing?",2,2,0.5,0.5,neutral,this is a dummy text,0,0,2,0,"The utterance expresses interest in the other person's activities and seeks to engage in a conversation about their experiences, indicating a level of understanding and connection. However, it does not explicitly acknowledge or validate any emotions.",1,0,0,1
"Yeah, yeah, thank you and I hope again I hope your boxer will win the final and I hope you enjoy the show tonight.",2,2,1,0.5,positive,this is a dummy text,1,0,0,0,"The utterance expresses well-wishes and positive sentiments towards another person, indicating a desire to connect and share in their positive emotions. However, it does not explicitly seek or provide empathy regarding any negative feelings.",1,0,0,0
I'm sorry to hear that but I also don't know what to do for you. Sorry.,0,0,-0.5,0,negative,this is a dummy text,2,0,0,2,"The utterance expresses a recognition of the other person's feelings (""I'm sorry to hear that"") but also indicates a lack of ability to provide support or understanding (""I also don't know what to do for you""). This suggests an attempt to provide empathy but falls short due to the uncertainty expressed.",1,1,1,0
"Yeah, that sounds... Well, I'm sorry for it, but have you ever talked to him in person? Or did you talk to the management company yourself? I think you should try to talk to them before deciding moving.",0,2,0.1,0.2,neutral,this is a dummy text,2,0,2,2,"The utterance expresses a degree of empathy by acknowledging the other person's situation (""I'm sorry for it"") and encourages them to take action by suggesting they talk to the management company. This indicates an understanding of the other person's feelings and a desire to help them explore their options.",1,1,1,1
that sounds scary night. Yeah it must be scary. Were you driving alone or with someone?,2,2,-0.5,0.5,negative,this is a dummy text,0,0,2,2,"The utterance expresses understanding and acknowledgment of the other person's feelings, indicating a recognition of fear and concern. It also includes a probing question to explore the situation further.",1,2,1,2
"Yeah, one thing I could recommend you do, didn't you check the weather forecast before you're going or, well, or you better check the destination. Like you said it was your first time, then maybe you could check the route more closely. Maybe.",2,2,0,0,neutral,this is a dummy text,0,0,0,0,The utterance is primarily focused on providing practical advice rather than expressing or acknowledging emotions. It does not seek or provide empathy but rather offers suggestions for a situation.,0,0,0,0
"Yeah, please do so. We are worried if you get injured or get an accident. So I hope you enjoy the next time.",2,2,0.5,0.5,positive,this is a dummy text,1,0,0,2,"The utterance expresses concern for the other person's well-being and hopes for their enjoyment, indicating a desire to provide empathy.",1,1,1,1
yeah that's disgusting but I think you were caring too much maybe? Or did you ask the staff at the gym?,0,0,-0.5,0.2,negative,this is a dummy text,0,0,2,2,"The utterance expresses a mix of understanding and probing into the feelings of the other person while also acknowledging their emotions. It suggests a desire to explore the situation further, indicating a level of empathy.",1,1,1,1
"Yes, that is the only thing I think I can tell you. And you know,. do not forget to bring your own drink. Maybe from next time.",0,0,0,0,neutral,this is a dummy text,0,0,0,0,"The utterance is straightforward and fact-oriented, providing a reminder about bringing a drink without expressing or seeking emotional connection.",0,0,0,0
yeah but you know practice more and I you know I hope you do well but you know just you know be ready and get more practice for that.,0,0,0.5,0.2,positive,this is a dummy text,1,0,0,2,"The utterance expresses encouragement and advice, indicating a desire for the other person to succeed, but it lacks a strong emotional connection or acknowledgment of feelings.",1,1,1,0
"Yes, remember last time you had the same situation and on that day you were so confident but then you forgot something to tell. So we don't want you to repeat that kind of thing. So just relax and try to your best and we hope it will be a success.",0,0,0.5,0.2,positive,this is a dummy text,1,0,0,2,"The utterance provides reassurance and encouragement while referencing a past experience of the other person, indicating an understanding of their feelings and a desire to support them.",1,1,1,1
well yeah I don't well I don't know what to say to you but you were very surprised,0,0,0 (neutral),0 (calm),neutral,this is a dummy text,2,0,0,0,"The utterance expresses uncertainty and acknowledges the other person's surprise, indicating a lack of clarity in communication but also a recognition of the other person's feelings. However, it does not actively seek or provide empathy.",1 (focus on the other person),0 (does not allude to any emotion),0 (no expression of understanding),0 (no interest or probing into the situation of another)
"Yeah, it sounds like your cousin, maybe rich enough to buy but sorry I can't tell you more.",0,0,0,0,neutral,this is a dummy text,0,0,0,0,The utterance does not express a desire for empathy or provide empathy; it is more of a factual statement regarding the cousin's financial situation.,0,0,0,0
I'm sorry to hear but why don't you just you know go home and get some rest and so that you get recovered or you try not to think too much.,2,2,0.5,0.2,positive,this is a dummy text,2,0,0,2,"The utterance expresses concern for the other person's well-being and suggests a course of action to help them feel better, indicating an understanding of their situation.",1,1,1,1
or if you have a male friend maybe you know you can talk to him and you know maybe he will understand your situation but sorry I don't that's the only thing I can tell you from my side,0,0,0,0,neutral,this is a dummy text,0,0,0,1,"The utterance suggests a lack of personal ability to provide empathy while encouraging the other person to seek support from a male friend, indicating a recognition of the other person's need for understanding.",1,0,1,1
"I think there are many bosses that don't want their workers to improve. and maybe your situation is not rare, probably very common. So in this case, maybe it's better that you do your own research or ask some friends for advices like me and then you can get recommendations about how you can improve. Because I also have had bosses that they don't help me at my work. So I think it's kind of common situation.",0,0,0.1,0.2,neutral,this is a dummy text,1,0,0,2,"The utterance reflects an understanding of the speaker's situation and shares a personal experience that aligns with the speaker's feelings, indicating a connection and empathy towards the speaker's challenges.",1,1,1,1
yes and I don't have the any other recommendation,0,0,0,0,neutral,this is a dummy text,0,0,0,0,The utterance is straightforward and does not express a desire for empathy or provide empathy to another person. It appears to be a factual statement without emotional engagement.,0,0,0,0
so do you live with your girlfriend,2,0,0,0,neutral,this is a dummy text,0,0,2,0,The utterance is a straightforward question about someone's living situation and does not express or seek empathy.,1,0,0,0
So basically you cannot coordinate to make the cleaning of the house?,2,0,0,0,neutral,this is a dummy text,0,0,2,0,"The utterance is a straightforward inquiry about the ability to coordinate cleaning tasks, lacking emotional engagement or acknowledgment of feelings.",0,0,0,0
I think when living with other person it can be difficult and talking it's very important for the relationship so if you cannot maybe understand each other probably in the future it can be harder in other things like having if you get more serious like having maybe child or getting marriage could be more complicated so but yeah but living with your girlfriend it's a good step just to kind of test in the relationship so I think you shouldn't worry about who cleans but if you are having a bad life maybe you need to resolve this.,2,2,0.5,0.2,neutral,this is a dummy text,0,0,0,2,"The utterance discusses the challenges of living with a partner and emphasizes the importance of communication in a relationship. It acknowledges potential difficulties and offers advice, indicating an understanding of the emotional dynamics involved.",1,1,1,1
"Yeah well everybody needs its own space. So I think for the common places in the house, maybe it should be better to share the responsibilities of some days who decides who cleans that area. for example if you have your own space I think it's totally fine if you have your things as you as you want",2,2,0,0,neutral,this is a dummy text,0,0,0,0,"The utterance discusses the need for personal space and shared responsibilities in a living situation, but it does not express or seek emotional understanding or connection. It is more focused on practical arrangements rather than emotional engagement.",0,0,0,0
yeah I think it's always very important to talk so talk to her and and explain then maybe he can understand you.,2,2,0.5,0.2,positive,this is a dummy text,1,0,0,2,"The utterance encourages someone to communicate their feelings to another person, indicating a desire for understanding and connection. It suggests that the speaker is providing empathy by advising the listener to express themselves, which implies an understanding of the importance of communication in emotional contexts.",1,1,1,1
"Well, I don't have any daughter now, so I don't know how you can feel, but I think maybe it's something like you are just get used to it, you have your daughter with you every day at home and at some point she will go and I mean it may be difficult but I haven't had a daughter so I don't know I don't know how can you feel",2,2,0.0,0.2,neutral,this is a dummy text,0,1,0,1,"The speaker expresses uncertainty about understanding the feelings of the other person due to their lack of personal experience, which indicates a desire to empathize but ultimately falls short of providing strong empathy.",0,1,1,1
"Well, on the other hand, maybe you can release some responsibility and you can have more space at your home maybe. So you have another room for maybe your friends and I think she will be maybe fine because she is already an adult so I think there is not anything to worry about.",2,2,0.5,0.2,positive,this is a dummy text,0,0,0,2,"The utterance provides suggestions and reassurances to the other person, indicating an understanding of their situation and emotions, but it does not explicitly seek empathy or express strong emotional reactions.",1,1,1,1
"Yeah also for her living alone or in another house with her boyfriend or someone else can be good for personal growing. So I think it's also a good thing, not only for you, but for her.",2,2,0.5,0.2,positive,this is a dummy text,0,2,0,0,"The utterance reflects a perspective on personal growth and positive outcomes for both the speaker and the other person mentioned, indicating a supportive stance rather than a direct expression of empathy.",2,0,0,0
"I'm sorry to hear that, but I haven't understand, did you buy also new equipment or only the new game?",2,2,0,0,neutral,this is a dummy text,2,0,2,1,"The utterance expresses a form of concern and seeks clarification about the other person's situation, indicating a desire to understand their feelings and experiences. However, it does not explicitly acknowledge or validate the other person's emotions.",1,0,0,1
"I see. Well, at least you have a new PC and with new equipment, maybe you should think in a positive way that you can buy new games and for me for that specific requirement and some games sometimes are bad you don't know until you play it so I think probably you can try another one",2,0,0.5,0.2,positive,this is a dummy text,0,0,0,2,"The utterance provides a perspective that encourages the other person to focus on the positive aspects of their situation (having a new PC) and suggests trying new games, which indicates an attempt to uplift and support the other person. However, it lacks a strong emotional connection or acknowledgment of the other person's feelings.",1,1,1,1
also if you are doing telework you can use it for making hard stuff programming so you can also take advantage of that equipment and also and get compensation back from your money so I think there is no any loss maybe see it like an investment because the PC will be PC you only have to update software you can have a good advantage of it,2,0,0,0,neutral,this is a dummy text,0,0,0,0,The utterance is primarily focused on providing information about telework and the benefits of using equipment for programming. It does not express or seek emotional understanding or connection.,0,0,0,0
"Well, happy birthday. You are already in the middle of the average. Yeah, so, well, I don't know how I can feel at that age, but I think it's also maybe like a goal, because many people don't, unfortunately they don't get 50 years. I think you should be very happy.",2,2,0.8,0.5,positive,this is a dummy text,1,2,0,2,"The utterance expresses a positive sentiment towards the birthday person, acknowledges the significance of reaching the age of 50, and encourages happiness. However, it does not explicitly seek or provide deep emotional understanding or exploration of feelings.",1,1,1,0
"Yeah, some people get sad when they get older. And some of them, they don't want to share their age. and I don't have any problem with that but I think it's very normal everybody is getting older so I think the important thing is enjoy it and if you have money spend it and do what you like",2,2,0,0,neutral,this is a dummy text,1,2,0,0,"The utterance reflects a neutral observation about aging and the emotions associated with it, without directly seeking or providing empathy. It discusses the normalcy of aging and encourages enjoyment of life, but does not engage deeply with the feelings of others.",0,0,0,0
"Maybe bars, clubs, looking for young girls. That's the other thing. Your body is older and some things may not work as well as before. So yeah, maybe you go into the clubs and have fun.",2,2,0.1,0.2,neutral,this is a dummy text,0,0,0,0,The utterance reflects a straightforward observation about social activities and aging without expressing a need for empathy or providing it to another person.,0,0,0,0
Oh really? such a nice gift from your girlfriend I think it's a very good gift if she took some time to gather up your family and friends. I think friends and family are maybe the best gift you can get especially if you live abroad. Yeah.,2,2,1,0.5,positive,this is a dummy text,0,0,0,2,"The utterance expresses positive sentiments about a gift and emphasizes the importance of friends and family, indicating an understanding of the emotional significance of the situation. However, it does not explicitly seek empathy or provide a deep emotional connection.",1,1,1,0
I think you are really important for your girlfriend. and she tried to do something that made you happy and I think she was right. So I think it's a good gift for me.,2,2,0.5,0.2,positive,this is a dummy text,0,0,0,2,"The utterance expresses understanding and validation of the other person's feelings regarding their girlfriend's actions, indicating a supportive stance.",1,1,1,0
"Yeah, me too. I'm here and I have studied hard some of my weekends also just at home studying, studying, but I am afraid maybe if I can't, if I cannot pass the exam I will be very disappointed I think so, but I don't like exams, maybe nobody likes, I don't know, But right now the only thing I want to do is finish the exam and see my score",0,2,-0.5 (negative feelings about the exam and fear of disappointment),0.5 (moderately aroused due to anxiety about the exam),negative,this is a dummy text,0,2,0,1,"The utterance expresses personal feelings of fear and disappointment regarding an exam, indicating a desire for understanding and acknowledgment of these emotions.",0 (the speaker is primarily focused on their own feelings and experiences),"1 (weak emotional expression, indicating fear and disappointment)","1 (generic acknowledgment of feelings, but not a strong inference)",0 (no probing into the emotions or situation of another)
"Yeah, two years is a long time. It's like a master degree maybe. So I mean you can finally do the test and be free and yes and I hope you can pass it.",0,0,0.5,0.5,positive,this is a dummy text,0,1,0,2,"The utterance expresses a supportive sentiment towards someone who is likely preparing for a test after a long period of study, indicating a desire for the other person to succeed. However, it does not explicitly seek empathy or delve deeply into the emotional state of the other person.",1,1,1,0
"In case you don't pass it, what will you do? Have you think about it? Because it might be kind of a depressing situation, because you studied a lot of time you invested maybe also not only time but money",0,2,-0.5,0.5,negative,this is a dummy text,0,0,2,2,"The utterance expresses concern for the other person's potential feelings regarding a challenging situation (not passing an exam) and acknowledges the emotional weight of the investment made (time and money). This indicates a desire to understand and explore the other person's feelings, which aligns with providing empathy.",1,1,1,1
"Yeah, also, I think it's not your case, but for example, people from China, they also study very hard for a couple of months for the university exam. and some of them get very sad if they don't pass, also depresses. But I hope it's not your case.",0,2,-0.5,0.2,negative,this is a dummy text,0,2,0,2,"The utterance acknowledges the emotional struggles of students from China regarding university exams, indicating an understanding of their feelings. However, it primarily focuses on providing reassurance to the listener, suggesting that the speaker is not directly seeking empathy for themselves.",1,1,1,1
"Yeah, losing your phone should be a very though situation. And you know, we have everything in our phone. and you probably can't do anything without it. You cannot communicate, and there are no public phones maybe anymore in India. So, and I haven't heard that India is a safe or unsafe country, but I don't think so. so maybe you should you should very you probably experience a very bad situation",2,2,-0.5,0.5,negative,this is a dummy text,0,2,0,2,"The utterance expresses understanding and acknowledgment of the negative feelings associated with losing a phone, indicating a strong empathetic response towards the other person's situation.",1,2,2,1
"In Japan they use something to hang in there, here. I think also that's a good idea, because sometimes you are free hands and that's why you forgot it. But if you have it here maybe, wherever you go you will bring it with yourself. But yeah, be careful.",2,2,0,0,neutral,this is a dummy text,0,0,0,0,"The utterance discusses a practical idea related to carrying something for convenience, but it does not express or seek emotional understanding or connection.",0,0,0,0
"Oh, that's so unfortunate. Have you tried to go to the police box or something to discuss the situation?",2,2,-0.5 (negative due to the acknowledgment of an unfortunate situation),0.2 (slightly aroused due to the expression of concern),negative,this is a dummy text,1,0,2,2,"The utterance expresses sympathy for the unfortunate situation and suggests a course of action, indicating an understanding of the other person's feelings and a desire to help.","1 (the focus is on the person being addressed with ""you"")","1 (weak emotional response, as it acknowledges the unfortunate situation)",1 (generic acknowledgment of the situation),1 (a weak probing question about what the person has done)
"Okay, you can talk more to me and if you need something you can tell me. Maybe we can, yeah. Maybe I can help you in case you need some help to talk with the police or something.",2,2,0.5,0.5,positive,this is a dummy text,1,0,0,2,"The utterance expresses a willingness to listen and offer help, indicating a supportive stance towards the other person. It shows an understanding of the other person's potential needs and encourages them to share their feelings or concerns.",1,1,1,1
"Yeah, that's just over there. And if you need something, you can just come back to this place.",2,2,0,0,neutral,this is a dummy text,1,0,0,0,"The utterance is straightforward and provides information about a location and an offer of assistance, but it does not express or seek empathy.",0,0,0,0
Oh that's so wonderful like I'm really glad to hear about that. Where are you going to go right now?,2,2,1,0.5,positive,this is a dummy text,2,0,2,2,"The utterance expresses positive feelings about another person's experience and shows interest in their plans, indicating a supportive and encouraging response.",1,1,1,1
Oh nice like I don't do cycling much but maybe we can meet in downtown like we can eat something and then you can cycle home and I just take the train back home.,2,2,0 (neutral),0 (neutral),neutral,this is a dummy text,0,0,0,0,"The utterance is primarily focused on making plans and suggesting a meeting, with no clear expression of seeking or providing empathy. It is straightforward and fact-oriented.",0 (the speaker is focused on themselves),0 (does not allude to any emotion),0 (no expression of understanding),0 (no interest or probing into the situation of another)
yes we can even have a race like which one is faster the train or the bike,2,2,0.5 (positive sentiment as it suggests a fun activity),0.5 (indicates a moderate level of excitement or engagement),positive,this is a dummy text,0,0,0,0,"The utterance is a light-hearted suggestion for a race between a train and a bike, which does not express or seek empathy. It is more focused on a playful idea rather than addressing emotions or feelings.",0 (the speaker is focused on themselves and their idea),0 (does not allude to any emotion),0 (no expression of understanding),0 (no probing into the feelings or situation of another)
"Oh yeah, I heard that. She told me about this incident. I'm really sorry for that. Do you have plans with your friends? Maybe if you hang out or something, you can release the emotion and forget about it a bit?",2,2,-0.5,0.2,negative,this is a dummy text,2,0,2,2,"The utterance expresses sympathy for someone's negative experience and suggests a way to cope with it, indicating an understanding of the other person's feelings.",1,1,1,1
I think maybe you just need to take it one step at a time and if there's something you can always talk to her as well you've been knowing her for quite some time,2,2,0.5,0.2,positive,this is a dummy text,1,0,0,2,"The utterance provides supportive advice and encourages the listener to take things slowly while also suggesting they communicate with someone they know well. This indicates an understanding of the listener's situation and emotions, which aligns with providing empathy.",1,1,1,1
"yeah that's good and if there's anything i know i haven't known you for quite long but maybe if If you want to talk, I can help. Just tell me.",2,2,"0.5 (positive sentiment, suggesting a supportive and encouraging tone)","0.2 (slightly aroused, indicating a calm but engaged demeanor)",positive,this is a dummy text,1,0,0,2,"The utterance expresses a willingness to listen and offer help, indicating a desire to provide support and understanding to the other person.","1 (the focus is on the other person, indicated by ""you"")","1 (weak emotional response, as it does not explicitly express strong feelings but shows a willingness to help)",1 (generic acknowledgment of the other person's potential need to talk),1 (a weak probing question inviting the other person to share)
Thank you very much for the warm welcome and I'm very delighted that I can join this company. Maybe you can tell more about the team or the people inside there.,0,0,0.8,0.5,positive,this is a dummy text,2,0,0,1,"The utterance expresses gratitude and delight about joining a company, indicating a positive sentiment. However, it also seeks more information about the team, which suggests a desire for connection and understanding about the new environment.",0,1,0,1
Thank you very much and I think for now I still don't know a lot of things so I really appreciate your help.,0,0,0.5,0.2,positive,this is a dummy text,1,0,0,1,"The utterance expresses gratitude and acknowledges a lack of knowledge, indicating a desire for assistance and understanding, which aligns with seeking empathy.",0,1,0,0
"Thank you again. And yeah, let's begin the orientation. How about it?",0,0,0,0,neutral,this is a dummy text,2,0,1,0,"The utterance is straightforward and fact-oriented, expressing gratitude and suggesting a next step without seeking or providing emotional support.",0,0,0,0
I cannot believe that people do that. I mean this is in Japan where the cleanliness is like one of the important thing and a mom letting a son to do such thing.,2,2,-0.5,0.5,negative,this is a dummy text,0,1,0,0,"The utterance expresses disbelief and disapproval regarding a situation involving cleanliness in Japan, but it does not seek or provide empathy towards another person's feelings. It is more of a commentary on societal norms rather than an emotional exchange.",0,1,0,0
yeah i bet that it will not taste good at all isn't it? And it's I don't know how long it's been there. It's scary.,2,2,-0.5,0.5,negative,this is a dummy text,0,0,0,1,"The utterance expresses concern and fear about the potential negative experience of consuming something that may be spoiled. The speaker is sharing their feelings about the situation, indicating a need for understanding and acknowledgment of their fear.",0,1,1,1
Okay I hope it's okay but yeah I cannot help to but imagine the situation and I feel a bit disgusted.,2,2,-0.5,0.5,negative,this is a dummy text,0,0,0,1,"The utterance expresses a personal emotional reaction to a situation, indicating a level of discomfort and disgust. This suggests a desire for understanding and acknowledgment of these feelings, which aligns with seeking empathy.",0,2,0,0
"Oh yeah, I think we're going to a very nice destination in this flight. What is your plan when you arrive in the destination?",2,0,0,0,neutral,this is a dummy text,0,0,2,0,The utterance is focused on discussing travel plans and does not express or seek emotional understanding or connection. It is straightforward and fact-oriented.,0,0,0,0
Yeah and I think that's a very good plan and yeah I think the weather is nice and the food will be nice and everything I think it will be perfect holiday and hope the flight will be safe.,2,0,1,0.5,positive,this is a dummy text,0,0,0,0,"The utterance expresses positive sentiments about a planned holiday, focusing on the pleasant aspects of the experience. However, it does not seek or provide empathy, as it is primarily fact-oriented and does not engage with the feelings of others.",0,0,0,0
"Oh, actually, look at this, like we go to the same destination, so I'm expecting also a good vacation there.",2,2,1,0.5,positive,this is a dummy text,0,0,0,0,The utterance expresses a positive expectation about a shared experience (a vacation) but does not seek or provide empathy. It is more focused on the speaker's anticipation rather than addressing emotions or feelings of another person.,0,0,0,0
"Oh my god, what did you do? Did you try to find out about that guy that tried to pay for you? Or did you try to order more or something?",2,2,0,0.5,neutral,this is a dummy text,0,0,2,0,"The utterance expresses curiosity and concern about the other person's actions in a specific situation, indicating a desire to understand their experience. However, it does not explicitly acknowledge or validate any feelings, nor does it provide emotional support.",1,0,0,1
oh so it's a female like oh my god maybe that will be your wife in the future and yeah i thought this kind of thing just happened in a movie like i could imagine that,2,2,0.8,0.5,positive,this is a dummy text,0,0,0,0,"The utterance expresses a sense of wonder and excitement about a potential romantic connection, indicating a positive emotional response. However, it does not explicitly seek or provide empathy towards another person's feelings.",0,1,0,0
oh i'm so glad to hear that but like in the date like just watch out maybe there's a secret camera that's indeed the way of the show right,2,2,0.5,0.2,positive,this is a dummy text,2,0,0,2,"The utterance expresses a mix of positive sentiment about hearing good news but also introduces a cautionary note, suggesting a concern for the other person's well-being. This indicates a level of empathy towards the other person's situation.",1,1,1,1
"Oh, I'm sorry to hear that. Did you try to find out about the person that unleashed the dog that's so irresponsible?",2,2,-0.5,0.5,negative,this is a dummy text,2,0,2,2,"The utterance expresses concern for the other person's situation and acknowledges their feelings of distress regarding the irresponsible dog owner. It also prompts the other person to reflect on their experience, indicating a desire to understand their emotions better.",1,1,1,1
that's so unfortunate and yeah I hope the police will find it it's so irresponsible is creating a lot of I mean you cannot go to work and you cannot also like walk well and everything is such a huge burden also physically and mentally I guess you cannot imagine that someone just like bite you in the middle of the street,2,2,-0.7,0.6,negative,this is a dummy text,2,2,0,1,"The utterance expresses a strong emotional reaction to an unfortunate situation, indicating a recognition of the burden it creates both physically and mentally. The speaker is sharing their feelings about the incident, which suggests a need for empathy.",0,2,1,1
is it possible to file like work from home? but yeah if you need to come to work like maybe just take it easy don't force yourself too much,2,2,0.5,0.2,positive,this is a dummy text,0,0,2,2,"The utterance expresses concern for the well-being of another person while also inquiring about the possibility of working from home. It acknowledges the need for the other person to take it easy, indicating a level of understanding and care for their situation.",1,1,1,1
So once I felt like I really trust my dog when I could just let him off the leash and he would just follow me around. I feel like I could trust him then.,1,2,0.8,0.5,positive,this is a dummy text,0,2,0,0,"The utterance reflects a personal experience of trust and connection with the dog, indicating a positive emotional state. However, it does not seek or provide empathy towards another person.",0,1,0,0
"Yes, he is a really really good dog. He's a good boy and I can trust that he behaves even though we sometimes have like many people going around there",0,2,1,0.5,positive,this is a dummy text,1,0,0,0,"The utterance expresses a positive sentiment about a dog, indicating trust and affection. However, it does not seek or provide empathy towards another person, as it focuses on the speaker's feelings about the dog rather than addressing any emotional needs of another individual.",0,1,0,0
So once I felt really really sad when my friends just cancelled my birthday dinner that they told me like a week before that that we will have it and then they just cancelled out of the blue.,1,1,-0.7 (indicates a negative emotional experience),0.5 (reflects moderate emotional intensity due to the sadness expressed),negative,this is a dummy text,0,2,0,1,"The utterance expresses a personal experience of sadness due to friends canceling a planned event, indicating a desire to be heard and understood regarding negative feelings.",0 (the focus is on the speaker's own feelings),2 (the speaker explicitly expresses strong emotions of sadness),0 (there is no indication that the listener is demonstrating understanding of the speaker's feelings),0 (the speaker does not invite further exploration of their feelings)
"They said that they were all busy and they had something but I don't know, I think they just made an excuse there, which made me really sad.",0,1,-0.5,0.5,negative,this is a dummy text,0,0,0,1,"The utterance expresses a personal feeling of sadness due to perceived rejection or excuse-making by others, indicating a desire to be understood and acknowledged.",0,2,1,0
I recently went to the water park and it was like super super fun like I have never gone there and and well now I have and it's great,1,1,1,0.8,positive,this is a dummy text,0,2,0,0,"The utterance expresses a positive experience and excitement about visiting a water park, focusing on the speaker's enjoyment without seeking or providing empathy.",0,1,0,0
"Oh, I went alone, which sometimes you would think it's like bad, but no, I had a really fun time.",0,1,0.8,0.5,positive,this is a dummy text,0,2,0,0,"The utterance reflects a personal experience where the speaker shares a positive outcome of being alone, indicating a sense of self-reflection rather than seeking or providing empathy to another person.",0,1,0,0
I was recently very afraid because I saw a huge spider just while I was taking a shower. like I was just there and suddenly opened my eyes and there was this huge spider and it moved so fast oh it was it was very scary,1,1,-0.7 (negative sentiment due to the fear expressed),0.8 (highly aroused due to the intense emotional experience described),negative,this is a dummy text,0,2,0,1,"The utterance expresses a personal experience of fear and seeks acknowledgment of that fear, indicating a desire to be heard and understood.",0 (the speaker is focused on their own experience),2 (strong emotional response is evident in the description of fear),0 (no expression of understanding from another person is present),0 (no probing or exploration of emotions from another person is indicated)
yeah they're like very nasty and if they like bite you I heard some can actually kill you,0,0,-0.5,0.5,negative,this is a dummy text,0,0,0,0,"The utterance expresses a concern about the dangerous nature of certain creatures, indicating a negative sentiment but does not seek or provide empathy.",0,0,0,0
"So, recently I lost my wallet and I didn't like expect to see it again. So it was very surprising that an old man contacted me that he found it on the street and he actually gave it to me. that is pretty impressive. I feel like I gained some faith in humanity.",1,1,1,0.5,positive,this is a dummy text,0,2,0,0,"The utterance expresses a personal experience of losing a wallet and the positive surprise of having it returned, indicating a reflection on the kindness of others. It does not seek empathy but rather shares a positive emotional experience.",0,1,0,0
"Yeah, that is amazing. That is something that I don't expect in other parts of the world, right? That is... Wow.",0,1,1,0.5,positive,this is a dummy text,0,0,0,0,"The utterance expresses surprise and admiration about something unexpected in other parts of the world, indicating a positive emotional response but does not seek or provide empathy.",0,1,0,0
"So I get actually kind of angry when I cannot leave work on time, when I have a lot of things to do and like my boss tells me to stay here and have to work, you know, that's really annoying.",1,1,-0.6,0.6,negative,this is a dummy text,0,2,0,1,"The utterance expresses personal feelings of anger and frustration regarding work-related issues, indicating a desire to be heard and understood about these negative emotions.",0,1,0,0
"Yeah, right? It's like they don't understand that we actually have a life and things to do outside of work, right?",0,1,-0.5,0.5,negative,this is a dummy text,0,1,2,1,"The utterance expresses frustration about being misunderstood regarding personal life outside of work, indicating a desire for recognition and understanding of their feelings.",0,1,1,0
