text,label,revised_label,valence,arousal,sentiment,speaker_utterance,predictions_ER,predictions_IP,predictions_EX,classification_label
So basically you cannot coordinate to make the cleaning of the house?,2,0,0.282,-0.31,negative,this is a dummy text,0,0,2,2
I think when living with other person it can be difficult and talking it's very important for the relationship so if you cannot maybe understand each other probably in the future it can be harder in other things like having if you get more serious like having maybe child or getting marriage could be more complicated so but yeah but living with your girlfriend it's a good step just to kind of test in the relationship so I think you shouldn't worry about who cleans but if you are having a bad life maybe you need to resolve this.,2,2,0.320514285714286,-0.0577142857142857,neutral,this is a dummy text,0,0,0,2
"Yeah well everybody needs its own space. So I think for the common places in the house, maybe it should be better to share the responsibilities of some days who decides who cleans that area. for example if you have your own space I think it's totally fine if you have your things as you as you want",2,2,0.366888888888889,-0.310777777777778,neutral,this is a dummy text,0,0,0,2
yeah I think it's always very important to talk so talk to her and and explain then maybe he can understand you.,2,2,0.548571428571429,-0.148285714285714,positive,this is a dummy text,1,0,0,2
"Well, I don't have any daughter now, so I don't know how you can feel, but I think maybe it's something like you are just get used to it, you have your daughter with you every day at home and at some point she will go and I mean it may be difficult but I haven't had a daughter so I don't know I don't know how can you feel",2,2,0.390090909090909,-0.185181818181818,negative,this is a dummy text,0,1,0,2
"Well, on the other hand, maybe you can release some responsibility and you can have more space at your home maybe. So you have another room for maybe your friends and I think she will be maybe fine because she is already an adult so I think there is not anything to worry about.",2,2,0.453733333333333,-0.1756,positive,this is a dummy text,0,0,0,2
"Yeah also for her living alone or in another house with her boyfriend or someone else can be good for personal growing. So I think it's also a good thing, not only for you, but for her.",2,2,0.4194,-0.3138,positive,this is a dummy text,0,2,0,2
"I'm sorry to hear that, but I haven't understand, did you buy also new equipment or only the new game?",2,2,0.50275,0.04925,negative,this is a dummy text,2,0,2,2
"I see. Well, at least you have a new PC and with new equipment, maybe you should think in a positive way that you can buy new games and for me for that specific requirement and some games sometimes are bad you don't know until you play it so I think probably you can try another one",2,0,0.411047619047619,-0.0142857142857143,positive,this is a dummy text,0,0,0,2
also if you are doing telework you can use it for making hard stuff programming so you can also take advantage of that equipment and also and get compensation back from your money so I think there is no any loss maybe see it like an investment because the PC will be PC you only have to update software you can have a good advantage of it,2,0,0.328608695652174,-0.0998260869565218,positive,this is a dummy text,0,0,0,2
"Well, happy birthday. You are already in the middle of the average. Yeah, so, well, I don't know how I can feel at that age, but I think it's also maybe like a goal, because many people don't, unfortunately they don't get 50 years. I think you should be very happy.",2,2,0.41875,-0.095375,positive,this is a dummy text,1,2,0,2
"Yeah, some people get sad when they get older. And some of them, they don't want to share their age. and I don't have any problem with that but I think it's very normal everybody is getting older so I think the important thing is enjoy it and if you have money spend it and do what you like",2,2,0.322333333333333,-0.0448888888888889,neutral,this is a dummy text,1,2,0,2
"Maybe bars, clubs, looking for young girls. That's the other thing. Your body is older and some things may not work as well as before. So yeah, maybe you go into the clubs and have fun.",2,2,0.244,-0.0926666666666666,neutral,this is a dummy text,0,0,0,0
Oh really? such a nice gift from your girlfriend I think it's a very good gift if she took some time to gather up your family and friends. I think friends and family are maybe the best gift you can get especially if you live abroad. Yeah.,2,2,0.639,-0.0423333333333333,positive,this is a dummy text,0,0,0,2
I think you are really important for your girlfriend. and she tried to do something that made you happy and I think she was right. So I think it's a good gift for me.,2,2,0.625,0.0318,positive,this is a dummy text,0,0,0,2
"Yeah, me too. I'm here and I have studied hard some of my weekends also just at home studying, studying, but I am afraid maybe if I can't, if I cannot pass the exam I will be very disappointed I think so, but I don't like exams, maybe nobody likes, I don't know, But right now the only thing I want to do is finish the exam and see my score",0,2,0.177739130434783,-0.0773043478260869,negative,this is a dummy text,0,2,0,0
"Yeah, two years is a long time. It's like a master degree maybe. So I mean you can finally do the test and be free and yes and I hope you can pass it.",0,0,0.265375,-0.26825,positive,this is a dummy text,0,1,0,2
"In case you don't pass it, what will you do? Have you think about it? Because it might be kind of a depressing situation, because you studied a lot of time you invested maybe also not only time but money",0,2,0.237333333333333,-0.282166666666667,negative,this is a dummy text,0,0,2,2
"Yeah, also, I think it's not your case, but for example, people from China, they also study very hard for a couple of months for the university exam. and some of them get very sad if they don't pass, also depresses. But I hope it's not your case.",0,2,0.174,-0.1385,negative,this is a dummy text,0,2,0,2
"Yeah, losing your phone should be a very though situation. And you know, we have everything in our phone. and you probably can't do anything without it. You cannot communicate, and there are no public phones maybe anymore in India. So, and I haven't heard that India is a safe or unsafe country, but I don't think so. so maybe you should you should very you probably experience a very bad situation",2,2,0.221294117647059,-0.139411764705882,negative,this is a dummy text,0,2,0,2
"In Japan they use something to hang in there, here. I think also that's a good idea, because sometimes you are free hands and that's why you forgot it. But if you have it here maybe, wherever you go you will bring it with yourself. But yeah, be careful.",2,2,0.301333333333333,-0.109333333333333,positive,this is a dummy text,0,0,0,2
"Oh, that's so unfortunate. Have you tried to go to the police box or something to discuss the situation?",2,2,-0.128666666666667,-0.104333333333333,negative,this is a dummy text,1,0,2,2
"Okay, you can talk more to me and if you need something you can tell me. Maybe we can, yeah. Maybe I can help you in case you need some help to talk with the police or something.",2,2,0.248615384615385,-0.135846153846154,neutral,this is a dummy text,1,0,0,2
"Yeah, that's just over there. And if you need something, you can just come back to this place.",2,2,0.0848,-0.2732,neutral,this is a dummy text,1,0,0,0
Oh that's so wonderful like I'm really glad to hear about that. Where are you going to go right now?,2,2,0.546,0.037,positive,this is a dummy text,2,0,2,2
Oh nice like I don't do cycling much but maybe we can meet in downtown like we can eat something and then you can cycle home and I just take the train back home.,2,2,0.445714285714286,-0.175285714285714,positive,this is a dummy text,0,0,0,0
yes we can even have a race like which one is faster the train or the bike,2,2,0.296333333333333,-0.121333333333333,neutral,this is a dummy text,0,0,0,0
"Oh yeah, I heard that. She told me about this incident. I'm really sorry for that. Do you have plans with your friends? Maybe if you hang out or something, you can release the emotion and forget about it a bit?",2,2,0.0398,0.0074,neutral,this is a dummy text,2,0,2,2
I think maybe you just need to take it one step at a time and if there's something you can always talk to her as well you've been knowing her for quite some time,2,2,0.3466,-0.2466,neutral,this is a dummy text,1,0,0,2
"yeah that's good and if there's anything i know i haven't known you for quite long but maybe if If you want to talk, I can help. Just tell me.",2,2,0.4085,-0.18725,positive,this is a dummy text,1,0,0,2
Thank you very much for the warm welcome and I'm very delighted that I can join this company. Maybe you can tell more about the team or the people inside there.,0,0,0.513818181818182,-0.134,positive,this is a dummy text,2,0,0,0
Thank you very much and I think for now I still don't know a lot of things so I really appreciate your help.,0,0,0.442,-0.299428571428571,positive,this is a dummy text,1,0,0,0
"Thank you again. And yeah, let's begin the orientation. How about it?",0,0,0.534666666666667,-0.0826666666666667,positive,this is a dummy text,2,0,1,0
I cannot believe that people do that. I mean this is in Japan where the cleanliness is like one of the important thing and a mom letting a son to do such thing.,2,2,0.335846153846154,-0.223076923076923,negative,this is a dummy text,0,1,0,0
yeah i bet that it will not taste good at all isn't it? And it's I don't know how long it's been there. It's scary.,2,2,0.164333333333333,0.046,negative,this is a dummy text,0,0,0,0
Okay I hope it's okay but yeah I cannot help to but imagine the situation and I feel a bit disgusted.,2,2,0.191428571428571,-0.0457142857142857,negative,this is a dummy text,0,0,0,0
"Oh yeah, I think we're going to a very nice destination in this flight. What is your plan when you arrive in the destination?",2,0,0.503142857142857,-0.0377142857142857,positive,this is a dummy text,0,0,2,0
Yeah and I think that's a very good plan and yeah I think the weather is nice and the food will be nice and everything I think it will be perfect holiday and hope the flight will be safe.,2,0,0.633176470588235,-0.201529411764706,positive,this is a dummy text,0,0,0,0
"Oh, actually, look at this, like we go to the same destination, so I'm expecting also a good vacation there.",2,2,0.427142857142857,-0.142285714285714,positive,this is a dummy text,0,0,0,0
"Oh my god, what did you do? Did you try to find out about that guy that tried to pay for you? Or did you try to order more or something?",2,2,0.32175,-0.00675,negative,this is a dummy text,0,0,2,2
oh so it's a female like oh my god maybe that will be your wife in the future and yeah i thought this kind of thing just happened in a movie like i could imagine that,2,2,0.521090909090909,-0.141272727272727,neutral,this is a dummy text,0,0,0,0
oh i'm so glad to hear that but like in the date like just watch out maybe there's a secret camera that's indeed the way of the show right,2,2,0.324181818181818,-0.138545454545455,positive,this is a dummy text,2,0,0,2
"Oh, I'm sorry to hear that. Did you try to find out about the person that unleashed the dog that's so irresponsible?",2,2,0.163142857142857,-0.0171428571428572,negative,this is a dummy text,2,0,2,2
that's so unfortunate and yeah I hope the police will find it it's so irresponsible is creating a lot of I mean you cannot go to work and you cannot also like walk well and everything is such a huge burden also physically and mentally I guess you cannot imagine that someone just like bite you in the middle of the street,2,2,0.0842105263157895,-0.0448421052631579,negative,this is a dummy text,2,2,0,2
is it possible to file like work from home? but yeah if you need to come to work like maybe just take it easy don't force yourself too much,2,2,0.373666666666667,-0.146,neutral,this is a dummy text,0,0,2,2
So once I felt like I really trust my dog when I could just let him off the leash and he would just follow me around. I feel like I could trust him then.,1,2,0.321818181818182,-0.0981818181818182,positive,this is a dummy text,0,2,0,1
"Yes, he is a really really good dog. He's a good boy and I can trust that he behaves even though we sometimes have like many people going around there",0,2,0.597,-0.154666666666667,positive,this is a dummy text,1,0,0,0
So once I felt really really sad when my friends just cancelled my birthday dinner that they told me like a week before that that we will have it and then they just cancelled out of the blue.,1,1,0.377333333333333,-0.220222222222222,negative,this is a dummy text,0,2,0,1
"They said that they were all busy and they had something but I don't know, I think they just made an excuse there, which made me really sad.",0,1,-0.0328,-0.0808,negative,this is a dummy text,0,0,0,0
I recently went to the water park and it was like super super fun like I have never gone there and and well now I have and it's great,1,1,0.5358,-0.075,positive,this is a dummy text,0,2,0,1
"Oh, I went alone, which sometimes you would think it's like bad, but no, I had a really fun time.",0,1,0.136571428571429,-0.115428571428571,positive,this is a dummy text,0,2,0,0
I was recently very afraid because I saw a huge spider just while I was taking a shower. like I was just there and suddenly opened my eyes and there was this huge spider and it moved so fast oh it was it was very scary,1,1,-0.167090909090909,0.114545454545455,negative,this is a dummy text,0,2,0,1
yeah they're like very nasty and if they like bite you I heard some can actually kill you,0,0,-0.171333333333333,0.141,negative,this is a dummy text,0,0,0,2
"So, recently I lost my wallet and I didn't like expect to see it again. So it was very surprising that an old man contacted me that he found it on the street and he actually gave it to me. that is pretty impressive. I feel like I gained some faith in humanity.",1,1,0.396714285714286,-0.0735714285714286,positive,this is a dummy text,0,2,0,1
"Yeah, that is amazing. That is something that I don't expect in other parts of the world, right? That is... Wow.",0,1,0.290666666666667,-0.194,positive,this is a dummy text,0,0,0,2
"So I get actually kind of angry when I cannot leave work on time, when I have a lot of things to do and like my boss tells me to stay here and have to work, you know, that's really annoying.",1,1,0.1424,-0.1152,negative,this is a dummy text,0,2,0,1
"Yeah, right? It's like they don't understand that we actually have a life and things to do outside of work, right?",0,1,0.42875,-0.147,negative,this is a dummy text,0,1,2,0
"That sucks, honestly",0,0,-0.312,0.412,negative,this is a dummy text,1,0,0,2
"So I saw someone outside just buy ice cream, but they pulled out like one of those packets and put mayo on it. They were eating that like right outside, like vanilla ice cream and mayo.",1,1,0.258266666666667,-0.259866666666667,neutral,this is a dummy text,0,0,0,1
I have no idea how they ended up like doing that like there's a point where sweet and sour is just no excuse you know,0,1,0.1372,-0.121,negative,this is a dummy text,0,0,0,2
"So I'm really looking forward to having a trip overseas. I've been looking forward to this for a while and now that it's a month away I feel like it's already here, you know?",1,1,0.598571428571429,-0.132,positive,this is a dummy text,0,2,0,1
"I'm going to take a trip to Pakistan. I'm going to see a very different culture from mine. And I won that in a contest, so I feel like I'm very blessed.",0,1,0.4978,-0.1006,positive,this is a dummy text,0,2,0,1
So I used to live near a place that had like a lot of rich people properties. Like people with jet skis and all-terrain vehicles and all of that stuff. And it made me feel like really sad that I could never afford that kind of stuff and people just like use them regularly it was kind of depressing,1,1,0.260538461538462,-0.167923076923077,negative,this is a dummy text,0,2,0,1
At some point I just made peace with it and just realized that some other people are having like better lives thanks to chance. But yeah it still bothered me sometimes.,0,1,0.548857142857143,-0.217142857142857,neutral,this is a dummy text,0,2,0,1
"Yeah, we just have to keep on keeping on and I guess... do the best with what we have, right?",0,1,0.3772,-0.288,positive,this is a dummy text,0,0,0,2
So once I was in my house and there came a really really big spider out of the ceiling and I didn't want to kill it so I just thrust it to like for it to fall on my hand and then and just went to the window and threw it away.,1,1,-0.0270909090909091,-0.028,negative,this is a dummy text,0,2,0,1
"I didn't know, actually, but I figured that if it continued to go down into the bottom of my hand, that it would be fine.",0,0,0.195714285714286,-0.263428571428571,neutral,this is a dummy text,0,0,0,0
"Yeah, but they're animals. They're not going to hurt me, I think. I mean, some of them have venom and stuff.",0,0,-0.0534285714285714,0.0525714285714286,neutral,this is a dummy text,0,0,0,0
So the other day I was really afraid because I think I saw someone die. There was someone that was going down the stairs at one of the stations and he fell and I thought he was going to be okay but he wasn't moving and there was blood and stuff. I didn't stay there but it was a very frightening experience.,1,1,-0.0535294117647059,-0.0148235294117647,negative,this is a dummy text,0,2,0,1
"Yeah, I'm fine now. A lot of people just congregated around and then like the police came and they like carted off the area and stuff. But oh man, that was really terrifying at the moment.",0,1,0.1202,-0.145,negative,this is a dummy text,0,0,0,0
"So I don't really trust those dating apps and stuff, so I recently had the help of a friend to set me up on a blind date and it really went well, I had a lot of fun and it shows that sometimes like going the traditional route is better than using all that fancy technology",1,1,0.420714285714286,-0.0814285714285714,positive,this is a dummy text,0,2,0,1
oh we went to an amusement park and then we went to watch a movie and we ended up like with a really not that fancy dinner but it was like a really good dinner you know and we ended up talking for hours and it went it went really well. I'm really glad that I decided to go with that experience.,0,1,0.428235294117647,-0.0515294117647059,positive,this is a dummy text,1,2,0,0
"Yeah, I've had ones that haven't gone that well, but it's really refreshing to have a different experience in that field.",0,0,0.316,-0.193428571428571,positive,this is a dummy text,0,2,0,0
I have a presentation right now at work and I have been doing my best to like get everything right and everything and instead of being nervous I'm really looking forward to it because I know I will like completely ace it you know? Do a really really good job there.,1,1,0.443176470588235,-0.0923529411764706,positive,this is a dummy text,0,1,0,1
"Yeah, I'm usually on the same boat, but right now I feel like I have gotten everything ready and I've done my research and everything is like really solid. So, um, like, surprisingly, I'm really looking forward to it. And I hope that at the end I will be doing, like, even better. I'll be happy. So, yeah, that's, like you said, it's really weird, but it's really great.",0,0,0.4241,-0.0778,positive,this is a dummy text,0,2,0,0
I forgot to take out the trash for like a few days and now it's kind of smelling really really bad it's like almost suffocating inside of my house and so I I take took it out like before the trash man comes so now I feel kind of bad because people will go and pass next to the collection site and they will smell it but I mean what can I do you know,1,1,0.151285714285714,-0.150285714285714,negative,this is a dummy text,0,2,0,1
"It wasn't far, well I don't know. So far it hasn't been collected so I don't know it's it's like still smells bad because of course it's going to smell bad but but it's now outside and I guess that's better? I feel really bad about the people that pass through. So, well.",0,0,0.0384615384615385,-0.046,negative,this is a dummy text,0,0,0,0
So I've been working on a different time zone than my family. I recently was very surprised when I sent a message and my little cousins just answered me immediately because it was like 4 a.m. in the morning. and they said that they were still like watching TV and doing stuff even though it was like a school night,1,1,0.328111111111111,-0.173444444444444,positive,this is a dummy text,0,2,0,1
"Yeah, I mean I was just like very surprised. It was like, you should be getting some sleep, right? I won't say I'm like better than that, but still it was kind of surprising to have like an immediate tex back, you know?",0,1,0.406933333333333,-0.177733333333333,neutral,this is a dummy text,0,1,0,0
nice that is I didn't know that actually it's really interesting I've heard it was done with coke but I had to check that I'm going to set it up like overnight but yeah I may actually check that and see if I can do that.,1,0,0.331090909090909,-0.0874545454545455,positive,this is a dummy text,0,0,0,2
So one of our friends actually has been working on research as well and it's been like only a year that she's been working on that but she has managed to put out five papers like as first and goddamn and that is like really surprising to me because that is like really impressive right?,1,1,0.298666666666667,-0.088,positive,this is a dummy text,0,2,0,1
"Something that really grossed me out recently is when I bought a coffee from Starbucks and suddenly I opened it and a fly flew out. So it apparently was inside of the coffee when they were doing the... they would they pour it out, pour it in and then close it and yeah that is that is pretty gross I think.",1,1,0.180923076923077,-0.0390769230769231,negative,this is a dummy text,0,2,0,0
I actually have no idea how it ended up going there but like I assume it might have gone inside after it was burned or something but the fact that it was inside of the cup is like really concerning you know,0,1,0.155,-0.2255,negative,this is a dummy text,0,0,0,0
"Oh no, I just poured it out on the nearby plant and went to get something else because it was gross. I didn't want to risk it, you know?",0,1,0.087,0.056,negative,this is a dummy text,0,2,0,0
"Yeah, that is a good idea, I think. I haven't tried it because I don't want to make him upset, but yeah, I think at this point it's time for taking these kinds of measures and I don't think it's unreasonable, you know?",1,1,0.267714285714286,-0.138428571428571,neutral,this is a dummy text,0,0,0,0
"I felt a lot of fear once in my life when I was in a period where I didn't know if I was going to be able to afford rent. I was really stressed out, really nervous. I just didn't know. And living with that uncertainty that I was either going to be kicked out of the apartment or being able to stay there, it was terrifying. It really, really, really messed me up for a long time.",1,1,0.068,-0.0519090909090909,negative,this is a dummy text,0,2,0,1
"Yeah, I feel like it was affecting every single part of my life. like I was always nervous I was always like I felt a step away from a breakdown you know it was completely overwhelming everything this nervousness this anxiety this fear it was really really rough to live through that and yeah I hope you never lived through that it's it's something that is really rough on anyone and I think now I'm glad that I'm no longer in that situation.",0,1,0.12264,0.10216,negative,this is a dummy text,1,2,0,0
"So, a recent thing that has made me feel... well, not that recent, but it made me feel very happy with myself, very content with myself, was when I was able to cook for over 20 people, like, on a really big get-together. I didn't know how to cook these dishes, but thanks to YouTube I was able to prepare something really nice. And I think it's really great that we have this technology now that we have access to all of this information, you know?",1,1,0.524857142857143,-0.0899285714285714,positive,this is a dummy text,0,2,0,1
"I mean, there were, sure, some batches that didn't make the cut. But other than that, yeah, it was really great. People had a really good time. Some people even complimented me on the cooking. but yeah it went really well that time that's why I think it's a very prominent memory you know.",0,0,0.340588235294118,-0.185058823529412,positive,this is a dummy text,1,2,0,0
No it was a celebration it was my niece's third third birthday so a lot of people chipped in for the same thing but yeah the person that was going to cook was no longer able to attend so we had to figure out how to do it.,0,0,0.366307692307692,-0.148,neutral,this is a dummy text,0,2,0,0
It was mostly me doing everything.,0,0,0.0,0.0,neutral,this is a dummy text,0,2,0,0
"So one of the things that has been... that surprised me recently is the fact that my brother was able to build a fence, like a chain link fence, to set it up all by himself without needing to call any specialists or anything. He just set it up all himself and I mean, he saved some money but it was pretty... Really surprising.",1,1,0.2805,-0.0844,positive,this is a dummy text,0,2,0,1
"So he usually never does manual labor. He only works on accounting and those kind of stuff. So I never took him as a handyman, but he was able to do it.",0,1,0.368,-0.133777777777778,neutral,this is a dummy text,0,2,0,0
"I am really looking forward to seeing my nephew's first competitive football game. He's been working hard. He's like 12, but he's working very hard and I know that he's going to do well in that game.",1,1,0.293538461538462,0.202153846153846,positive,this is a dummy text,0,2,0,1
"He's been playing football for years now, but only in his school league, I think. but he's now going to go for the first time into like the National League",0,0,0.330181818181818,-0.181454545454545,neutral,this is a dummy text,0,2,0,0
"I think he does. He's going to... He has been doing great so far, but yeah, I think this is like the big test, you know? He's going to check his performance against like other kids that are right now in some manner like professional so I think he's I'm hoping he does really well you know",0,1,0.4262,-0.1527,positive,this is a dummy text,0,0,0,0
"So one of the things that frustrates me a lot, particularly about my family, is that they can never get along. They never like... even in things that are very minor, like choosing what to eat in a family gathering they can never choose a single thing they always have like very different ideas and it's really frustrating because sometimes I have to cook and I have to cook like seven different dishes so it's it's really really something that's frustrating about",1,1,0.202258064516129,-0.176645161290323,negative,this is a dummy text,0,2,0,1
"yeah, and I guess I shouldn't be this angry about it but like, after working, after having to do stuff all day you get home and everyone's supposed to come over and like socialize with each other and they're like, oh no, I don't want this, no, I don't want that It's... it kind of gets frustrating, you know?",0,1,0.2803,-0.051,negative,this is a dummy text,0,1,0,0
"I think so. Yeah, I think that would, that could work. I... at this point I have tried a lot of things but I guess I have to be patient with them because everyone's different but yeah that's something I will be trying I guess.",0,1,0.281466666666667,-0.280933333333333,neutral,this is a dummy text,0,2,0,0
yeah it's really good to be able to trust your friends you know it's something really nice that you know that you have someone to fall back on and that they will always be there for you we should be really grateful that there are people like that in the world,1,1,0.452285714285714,-0.179714285714286,positive,this is a dummy text,1,0,0,2
"So I feel really happy that all the things that I ordered from a store online actually arrived early. This was a few months ago, but they arrived early and everything was in perfect condition. And they arrived like one week before they were supposed to. So that's really great.",1,1,0.289733333333333,-0.1684,positive,this is a dummy text,0,2,0,1
I was buying some motorcycle parts like I don't think they make them anymore so I ordered from collectors but they actually arrived early and I didn't think that was going to happen because it's from from some place in Europe they they arrived and everything was in perfect order and everything was alright,0,0,0.411538461538462,-0.0821538461538461,positive,this is a dummy text,0,2,0,1
"One of the experiences that I have had while working from home that actually really spooked me was when I was late at night working on something and I was already kind of sleepy and stuff but I was just minding my own business and suddenly I hear like a big crash against my window and I was really really spooked I thought someone had like thrown a stone or something or someone was trying to get in the house and I really felt scared and it turns out it was a bat, a bat flew right to the window and I mean I'm kind of scaredof bats but it was mostly the surprise and the spook",1,1,0.1852,-0.110628571428571,negative,this is a dummy text,0,2,0,1
yeah it was like when i wasn't here it was um like in the middle of nowhere basically like in in uh the countryside and everything was completely quiet like you said it was very peaceful and suddenly you hear someone trying something like it sounds like someone trying to get into the house but it was just a bat being blind i guess,0,0,0.375444444444444,-0.299,neutral,this is a dummy text,0,2,0,0
Yeah I did check that the bat was... I went outside because I didn't know if someone was... or something was wrong. I saw yeah I actually saw the bat like trying to still trying to get into the house by flying into the windows but yeah at that point I mean it's just an animal so I let it be but it was pretty spooky,0,1,0.0107368421052632,-0.103578947368421,neutral,this is a dummy text,0,2,0,0
"So, one of the things that has made me sad is the fact that my brother made a promise to me and he ended up just breaking it without a second thought.",1,1,0.137111111111111,-0.318666666666667,negative,this is a dummy text,0,2,0,1
"Okay. So, one of the things that really disgusts me is when people take advantage of each other. And a really disgusting situation was when a former friend of mine told me that he steals money from his 5 year old saving jar Just to use them for like public transport and stuff. But I mean, that is like, I think that's pretty disgusting behavior.",1,1,0.113615384615385,-0.0531538461538462,negative,this is a dummy text,0,2,0,1
"He told me that he, like, when he goes outside, he usually forgets to take change for, like, the bus or whatever. And he says that since his five-year-old savings jar is there, like, he just takes it because, Like that's at the end of the day his money, not his kids.",0,1,0.256777777777778,-0.224111111111111,neutral,this is a dummy text,0,2,0,0
"Oh, he told me he only takes stuff. He never puts anything back.",0,0,0.204,-0.1725,negative,this is a dummy text,0,2,0,0
"One of the things that makes me angry, and it's really really simple, is my internet right now. It's been pretty choppy and I can't... It can upload large files, but when I try to watch a YouTube video it's like in the lowest resolution possible and it makes no sense and I have tried to call the company but they can't help me and it's really frustrating, you know?",1,1,0.233384615384615,-0.110615384615385,negative,this is a dummy text,0,2,0,1
I haven't tried that but Maybe I should do that. I don't know if that will make a difference though,0,0,0.282,-0.106,neutral,this is a dummy text,0,0,0,2
"Oh, the home network from my apartment and it's not working.",0,0,0.422,-0.2075,negative,this is a dummy text,0,2,0,0
"I'm not sure actually, it's just...",0,0,0.448,-0.46,neutral,this is a dummy text,0,0,0,0
So I'm pretty optimistic about my future right now. I feel that whatever's coming next I will be able to tackle it perfectly. I think having positive thoughts about the future is a really nice thing. So I'm looking forward for like the next few years.,1,1,0.523555555555556,-0.0783333333333333,positive,this is a dummy text,0,0,0,1
"Yeah, it's like pretty great honestly. I don't know if like things will go my way, but we have to put trust on that things will go well sometimes, right?",0,1,0.320307692307692,-0.208307692307692,positive,this is a dummy text,0,0,0,0
One of the things that surprised me today was that I was able to wake up before my alarm. usually I sleep in but today I just woke up and checked the clock and it was like five minutes before my alarm which is which was neat I think.,1,1,0.27825,-0.19075,positive,this is a dummy text,0,2,0,1
No that's the funny thing like I actually only slept like six hours instead of the usual eight but I ended up waking up early and feeling refreshed and I think that's weird but I mean it's a welcome weird instead of a bad weird.,0,1,0.126526315789474,-0.158842105263158,positive,this is a dummy text,0,1,0,0
"Oh, I hadn't thought of that. I will be on the lookout if anything goes wrong, you know.",0,0,0.164333333333333,-0.118333333333333,neutral,this is a dummy text,0,0,0,0
"Um... No, well, yeah, I did. So maybe that's why.",0,0,0.0,0.0,neutral,this is a dummy text,0,2,0,0
So yesterday I was walking at night and suddenly realized that it got cloudy really really fast and it started like lightning started to appear and thunder and everything so I was actually got really scared because I was far away from from home and if I were to be caught in the storm I would it wouldn't be the best thing so I was like fearing for my life while running to my house,1,1,0.0815,-0.0151,negative,this is a dummy text,0,2,0,1
"yeah like I did make it and I don't think if there was a storm It was very late at night so I just went and slept. But yeah, the lightning was... I feel like it was really close. And I'm really afraid of getting struck by lightning. I know it's very rare, but it can happen, man.",0,1,0.0318666666666667,0.0233333333333333,negative,this is a dummy text,0,2,0,0
yeah I actually know someone who was struck by lightning once but I mean they were fine but they had like um burns in some parts of their legs,0,0,0.142,-0.1155,neutral,this is a dummy text,0,2,0,2
yeah that's it's really rare but it does happen,0,0,0.073,0.083,neutral,this is a dummy text,0,0,0,2
"So, one thing that made me sad, it was when I got one of the new bills and I was walking along, moving stuff from my wallet and it blew away by the wind and crossed the street and I just tried to chase after it but I couldn't make it and at the end I was really sad.",1,1,0.014,-0.155176470588235,negative,this is a dummy text,1,2,0,1
"It was pretty strong. I was, well my hair was flying and going all over the place and like I was just trying to get some money to buy something and it like blew away",0,1,0.5224,-0.0017999999999999,positive,this is a dummy text,0,2,0,0
"It was a small bill so it wasn't that bad but yeah, I lost money",0,1,-0.1576,0.0012,negative,this is a dummy text,0,2,0,0
"I remember one time when I was like back in college when my group of friends to went to have dinner together and we were all supposed to go and I was on my way there but I got caught in traffic and I couldn't like make it and I didn't I have my phone so I didn't know what would, or I couldn't tell them. And in the end, they actually ended up waiting for me. And I arrived like an hour later or something, and they were all there and they were all concerned. Instead of being angry, they were really understanding. So I'm glad that they acted like that that time.",1,1,0.186,-0.181515151515152,positive,this is a dummy text,0,2,0,0
"Well, yeah, I actually am very glad that I have them. I don't know why your group of friends would be like that or how would they act?",0,0,0.38575,-0.0405,positive,this is a dummy text,0,0,2,0
"Well, that is certainly something. Well, I'm sure they love you underneath the hard exterior.",0,0,0.2072,-0.1352,positive,this is a dummy text,1,0,0,2
"I think one of the happiest moments of my entire life was when I graduated college. I had a really difficult test as a final test and it wasn't even exactly from my major. So I had to study a lot of stuff I didn't study during the major. So when I got the results back and it was like, oh yeah, you passed. I was overjoyed with emotion.",1,1,0.275909090909091,-0.0157272727272727,positive,this is a dummy text,0,2,0,1
yeah like it's it feels really great to to like have accomplished something i don't know if you have had an experience like that,0,0,0.59475,-0.04375,positive,this is a dummy text,0,0,0,0
"Yeah, you feel like ah I did it yeah, let's go!",0,1,0.354,-0.0693333333333333,positive,this is a dummy text,0,0,0,0
I'm here at the arcades because I finally got the highest score ever in my case. I mean the highest rank. Now I'm ranked Diamond at Street Fighter. So I feel unstoppable. so I came here to this arcade to play with as many people as possible.,1,1,0.319647058823529,0.05,positive,this is a dummy text,0,0,0,1
Thanks. for each person it's different what makes them happy. In my case it's just about this game. That's why I'm here to play and try to defeat as many players as possible.,0,0,0.295833333333333,0.0445,positive,this is a dummy text,0,0,0,0
"My daughter is going for surgery. Even though it's something not serious, it's just a tongue surgery. I'm concerned. What if something happens to her?",1,1,-0.062,0.179333333333333,negative,this is a dummy text,0,2,2,1
Yeah what if she's in pain or something is just not going well but she cannot express that she's very small so yes I don't know if the doctors know how to treat a girl of her age,0,1,0.1695,-0.08925,negative,this is a dummy text,0,0,0,0
I feel the same but I feel like I should even go home like I don't feel well,0,1,0.488,-0.0791428571428572,negative,this is a dummy text,0,2,0,0
I love my family because we don't have any secrets. I can share anything with them and they accept me just the way I am.,1,1,0.488,-0.165,positive,this is a dummy text,0,2,0,1
"Yes, I don't know what I would do without my family. The family I have here are also my family back in my country. With all of them, I share the same that I just trust them. I don't know how exactly how it happened, but I just know that I can share anything with them.",0,1,0.537076923076923,-0.165692307692308,positive,this is a dummy text,1,2,0,0
